provider;imsi;pin;cert
1NSI;1000000000000000;1111;THIS IS MY CERT 1000000000000000
2NSI;1000000000000001;1112;THIS IS MY CERT 1000000000000001
3NSI;1000000000000002;1113;THIS IS MY CERT 1000000000000002
4NSI;1000000000000003;1114;THIS IS MY CERT 1000000000000003
5NSI;1000000000000004;1115;THIS IS MY CERT 1000000000000004
6NSI;1000000000000005;1116;THIS IS MY CERT 1000000000000005
7NSI;1000000000000006;1117;THIS IS MY CERT 1000000000000006
8NSI;1000000000000007;1118;THIS IS MY CERT 1000000000000007
9NSI;1000000000000008;1119;THIS IS MY CERT 1000000000000008
10NSI;1000000000000009;1120;THIS IS MY CERT 1000000000000009
11NSI;1000000000000010;1121;THIS IS MY CERT 1000000000000010
12NSI;1000000000000011;1122;THIS IS MY CERT 1000000000000011
13NSI;1000000000000012;1123;THIS IS MY CERT 1000000000000012
14NSI;1000000000000013;1124;THIS IS MY CERT 1000000000000013
15NSI;1000000000000014;1125;THIS IS MY CERT 1000000000000014
16NSI;1000000000000015;1126;THIS IS MY CERT 1000000000000015
17NSI;1000000000000016;1127;THIS IS MY CERT 1000000000000016
18NSI;1000000000000017;1128;THIS IS MY CERT 1000000000000017
19NSI;1000000000000018;1129;THIS IS MY CERT 1000000000000018
20NSI;1000000000000019;1130;THIS IS MY CERT 1000000000000019
21NSI;1000000000000020;1131;THIS IS MY CERT 1000000000000020
22NSI;1000000000000021;1132;THIS IS MY CERT 1000000000000021
23NSI;1000000000000022;1133;THIS IS MY CERT 1000000000000022
24NSI;1000000000000023;1134;THIS IS MY CERT 1000000000000023
25NSI;1000000000000024;1135;THIS IS MY CERT 1000000000000024
26NSI;1000000000000025;1136;THIS IS MY CERT 1000000000000025
27NSI;1000000000000026;1137;THIS IS MY CERT 1000000000000026
28NSI;1000000000000027;1138;THIS IS MY CERT 1000000000000027
29NSI;1000000000000028;1139;THIS IS MY CERT 1000000000000028
30NSI;1000000000000029;1140;THIS IS MY CERT 1000000000000029
31NSI;1000000000000030;1141;THIS IS MY CERT 1000000000000030
32NSI;1000000000000031;1142;THIS IS MY CERT 1000000000000031
33NSI;1000000000000032;1143;THIS IS MY CERT 1000000000000032
34NSI;1000000000000033;1144;THIS IS MY CERT 1000000000000033
35NSI;1000000000000034;1145;THIS IS MY CERT 1000000000000034
36NSI;1000000000000035;1146;THIS IS MY CERT 1000000000000035
37NSI;1000000000000036;1147;THIS IS MY CERT 1000000000000036
38NSI;1000000000000037;1148;THIS IS MY CERT 1000000000000037
39NSI;1000000000000038;1149;THIS IS MY CERT 1000000000000038
40NSI;1000000000000039;1150;THIS IS MY CERT 1000000000000039
41NSI;1000000000000040;1151;THIS IS MY CERT 1000000000000040
42NSI;1000000000000041;1152;THIS IS MY CERT 1000000000000041
43NSI;1000000000000042;1153;THIS IS MY CERT 1000000000000042
44NSI;1000000000000043;1154;THIS IS MY CERT 1000000000000043
45NSI;1000000000000044;1155;THIS IS MY CERT 1000000000000044
46NSI;1000000000000045;1156;THIS IS MY CERT 1000000000000045
47NSI;1000000000000046;1157;THIS IS MY CERT 1000000000000046
48NSI;1000000000000047;1158;THIS IS MY CERT 1000000000000047
49NSI;1000000000000048;1159;THIS IS MY CERT 1000000000000048
50NSI;1000000000000049;1160;THIS IS MY CERT 1000000000000049
51NSI;1000000000000050;1161;THIS IS MY CERT 1000000000000050
52NSI;1000000000000051;1162;THIS IS MY CERT 1000000000000051
53NSI;1000000000000052;1163;THIS IS MY CERT 1000000000000052
54NSI;1000000000000053;1164;THIS IS MY CERT 1000000000000053
55NSI;1000000000000054;1165;THIS IS MY CERT 1000000000000054
56NSI;1000000000000055;1166;THIS IS MY CERT 1000000000000055
57NSI;1000000000000056;1167;THIS IS MY CERT 1000000000000056
58NSI;1000000000000057;1168;THIS IS MY CERT 1000000000000057
59NSI;1000000000000058;1169;THIS IS MY CERT 1000000000000058
60NSI;1000000000000059;1170;THIS IS MY CERT 1000000000000059
61NSI;1000000000000060;1171;THIS IS MY CERT 1000000000000060
62NSI;1000000000000061;1172;THIS IS MY CERT 1000000000000061
63NSI;1000000000000062;1173;THIS IS MY CERT 1000000000000062
64NSI;1000000000000063;1174;THIS IS MY CERT 1000000000000063
65NSI;1000000000000064;1175;THIS IS MY CERT 1000000000000064
66NSI;1000000000000065;1176;THIS IS MY CERT 1000000000000065
67NSI;1000000000000066;1177;THIS IS MY CERT 1000000000000066
68NSI;1000000000000067;1178;THIS IS MY CERT 1000000000000067
69NSI;1000000000000068;1179;THIS IS MY CERT 1000000000000068
70NSI;1000000000000069;1180;THIS IS MY CERT 1000000000000069
71NSI;1000000000000070;1181;THIS IS MY CERT 1000000000000070
72NSI;1000000000000071;1182;THIS IS MY CERT 1000000000000071
73NSI;1000000000000072;1183;THIS IS MY CERT 1000000000000072
74NSI;1000000000000073;1184;THIS IS MY CERT 1000000000000073
75NSI;1000000000000074;1185;THIS IS MY CERT 1000000000000074
76NSI;1000000000000075;1186;THIS IS MY CERT 1000000000000075
77NSI;1000000000000076;1187;THIS IS MY CERT 1000000000000076
78NSI;1000000000000077;1188;THIS IS MY CERT 1000000000000077
79NSI;1000000000000078;1189;THIS IS MY CERT 1000000000000078
80NSI;1000000000000079;1190;THIS IS MY CERT 1000000000000079
81NSI;1000000000000080;1191;THIS IS MY CERT 1000000000000080
82NSI;1000000000000081;1192;THIS IS MY CERT 1000000000000081
83NSI;1000000000000082;1193;THIS IS MY CERT 1000000000000082
